アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
機械保全技能検定3級　実技対策,RUMAHSAKU CORP.,Education,5,4,0.0,2026-05-21,2026-07-06,QC検定/検定,,○,○,○,○,○,,,,○,,○,,,,,,
QC検定４級 対策,Daisuke Matsubara,Education,5,4,500.0,2025-05-03,2025-05-05,QC検定/検定,○,○,,○,○,○,,,,,,,○,,,,,
TAPOC　試験対策,RUMAHSAKU CORP.,Education,4,4,800.0,2026-03-03,2026-07-12,日本語能力試験/試験対策,○,○,○,○,,○,,,,○,,○,○,○,,,,
税務検定 2級3級 銀行業務検定,shinichi kinuwaki,Education,3.5,4,0.0,2026-04-16,2026-05-21,一問一答/銀行業務検定,○,○,,○,,○,,,,,,,,,,,,
世界史年号一問一答 - 高校受験 大学受験 共通テスト対策,Hajime App Lab,Education,5,4,0.0,2026-05-13,2026-07-18,一問一答/公務員試験/暗記,○,○,○,○,,○,○,○,○,,,○,○,,,,○,
高校化学・化学基礎の一問一答：ケムクイズ,TomatoAppLab,Education,5,4,0.0,2026-04-27,2026-07-19,スキマ時間 学習/一問一答,○,○,,○,,,,,,,,,,,,,,
宅建 過去問 2026｜宅建士 一問一答・模試・解説,Hirotaka Kouso,Education,5,4,0.0,2026-05-19,2026-07-26,一問一答/宅建士/模試,○,○,○,○,○,○,,,,○,,,○,,,,,
ふくろうゼミ 中学受験一問一答,Koji Morita,Education,5,4,0.0,2026-06-09,2026-07-04,一問一答,,○,,○,○,,,,,,,,,○,,,,
シンプル宅建,DAIKI HAYASHI,Education,3,4,0.0,2025-09-04,2026-03-14,宅建/宅建士,○,○,,,○,○,,,,,,,,○,,,,
光速記述マスター,atushi miyamoto,Education,3.25,4,0.0,2026-06-04,2026-06-06,行政書士,,,,○,,,,,,,,,,,,,,
記憶KEEPER,nao watanabe,Education,5,4,0.0,2026-05-24,2026-07-05,建築士/社労士/行政書士/電気工事士,○,○,,,,,,,,,,○,,,,,,
公認会計士企業法｜スキマで1問,Tatsuki Kato,Education,2,4,0.0,2025-03-09,2025-11-29,中小企業診断士/司法書士/行政書士,○,,,○,○,,,,,,,,,,,,,
DORILOOP - 問題集をワンタップ記録・弱点を可視化,naoki waratani,Education,3.75,4,0.0,2026-02-15,2026-07-27,中小企業診断士/司法書士/社労士,○,○,,,,,○,,,,,,○,,,,,
司法試験・予備試験 | 音声学習アプリ,CAREP TECHNOLOGIES K.K.,Education,4,4,0.0,2025-02-23,2026-05-20,司法書士,○,,,○,,,,,,,,,○,,,,,
AIは法律を読む：法律アシスタント,Ondrej Stanek,Productivity,3.75,4,0.0,2024-11-01,2026-05-31,司法書士,,,○,,,,,,,,,○,,,,,,
PractiCalc2,Tsutomu Nagai,Productivity,4.5,4,300.0,2020-04-22,2023-05-25,簿記,,,,,,,,,,,,,,,,,,
Paceon - 勉強スケジュール自動作成,Takegami Shoichiro,Education,5,4,0.0,2026-03-29,2026-07-03,簿記,○,,,○,,,○,,○,,,○,,,○,,,
FP2級 過去問 2026 一問一答問題集,Minato Apps,Education,4.5,4,0.0,2026-05-07,2026-07-26,スキマ時間 学習/ファイナンシャルプランナー,,○,○,○,○,○,,,,,○,,,,,,,
CFP試験対策問題集,RUMAHSAKU CORP.,Education,4,4,1500.0,2025-07-28,2026-06-09,ファイナンシャルプランナー,,,,,,○,,,,,,,,,,,,
サステナブル経営サポート 銀行業務検定 試験対策,ARKTECH LLC (Japan),Education,3,4,0.0,2025-12-19,2025-12-20,銀行業務検定,○,○,○,○,,○,,,,○,,,,○,,,,
登録販売者 750問解説付き,shinichi kinuwaki,Education,5,4,0.0,2026-03-12,2026-07-10,スキマ時間 学習/登録販売者/薬剤師 国家試験,○,○,○,○,,,,,,○,,○,,,,,,
看護師国家試験 StudyNurse(スタディナース),Fucius Inc.,Education,5,4,0.0,2026-06-03,2026-07-24,看護師 国家試験,○,○,○,○,○,○,,,,,,,○,,,,○,○
Dr.Value,TOMOKAZU YAHAGI,Education,5,4,0.0,2025-10-16,2026-03-14,看護師 国家試験/薬剤師 国家試験,,○,,○,,○,,○,,○,○,,,,,,,○
解剖生理学の学習 - 人体図鑑,Mustafa Utku Coskun,Education,5,4,0.0,2025-12-11,2026-06-16,看護師 国家試験,○,○,,,,,,,○,,,,,○,,,,
心不全療養指導士　試験対策,RUMAHSAKU CORP.,Education,4.75,4,800.0,2026-03-24,2026-03-25,看護師 国家試験/薬剤師 国家試験,○,○,○,○,○,○,,,○,○,,○,○,,,,,
介護・特定技能,"Japan ICT Learning Co., Ltd.",Education,3,4,0.0,2021-07-12,2022-05-19,看護師 国家試験,,,,,,○,,○,,○,,,,,,,,
薬剤師国家試験対策問題集－生物－,"BLOOM CO., LTD",Education,2.5,4,0.0,2015-12-05,2019-03-13,薬剤師 国家試験,,○,,○,,,,,,,,,,,,,,
薬剤師2022年対策アプリ,YUZUKI SUDA,Education,3.75,4,0.0,2021-01-17,2022-05-25,薬剤師 国家試験,,○,,,○,,,,,,,,,,,,,
FREEDAMアプリ,"DAIICHIKOSHO CO.,LTD",Productivity,4.75,4,0.0,2022-08-30,2026-07-28,介護福祉士,,,○,,,,,,,,,,,,,,,
【中央法規】精神保健福祉士合格アプリ2025 過去問+模擬問,"CHUOHOKI PUBLISHING CO.,LTD.",Education,3,4,0.0,2024-05-23,2024-08-06,介護福祉士/社会福祉士/精神保健福祉士,,○,○,○,○,,,○,,,○,,,,,,,
irohana study,irohana inc.,Education,5,4,0.0,2026-05-16,2026-06-03,介護福祉士,,,○,,,,,,,○,,,,,,,,
管理栄養士2023国家試験対策,YUZUKI SUDA,Education,4,4,0.0,2021-01-23,2023-01-27,管理栄養士,,○,,,○,,,,,,,,,,,,,
危険物乙4 過去問・問題集,Naoto Baba,Education,4,4,0.0,2026-05-08,2026-06-12,危険物取扱者,○,○,○,○,○,○,,,,○,,,○,,,,,
危険物乙3類取扱者試験問題集　りすさんシリーズ,Kazuki Baba,Education,3,4,500.0,2014-08-09,2026-04-27,危険物取扱者,,○,○,,○,,,,,,,,,,,,,○
危険物乙1類取扱者試験問題集　りすさんシリーズ,Kazuki Baba,Education,3,4,500.0,2014-08-09,2026-04-26,危険物取扱者,,○,○,,○,,,,,,,,,,,,,○
危険物丙種 試験対策 一問一答,cocoroom,Education,4,4,0.0,2026-05-14,2026-06-04,危険物取扱者,○,○,○,○,,○,,,,○,,,○,○,,,,
丙種危険物取扱者試験問題集　りすさんシリーズ,Kazuki Baba,Education,1,4,500.0,2014-08-09,2026-06-27,危険物取扱者,,○,○,,○,,,,,,,,,,,,,○
土木施工管理技士2級のたまご-パスモン,ryosukE soejimA,Education,5,4,0.0,2025-02-04,2025-02-05,建築士/施工管理技士/電気工事士,○,○,,○,,,,○,,,,,○,,○,,,
タテスタ電験三種法規,GUENOCROSS INC.,Education,3.75,4,0.0,2024-08-20,2026-03-20,電験三種,○,,,○,,,,,,,,,,,,,,
1級土木施工管理 2026 過去問解説,Daichi Aoki,Education,2.5,4,0.0,2026-02-19,2026-07-01,施工管理技士,○,○,○,○,○,,○,,,○,,,,○,,,,
外壁塗装業のための業務アプリ-Sotoyell（ソトエル）,"1ttan, Inc.",Productivity,5,4,0.0,2025-01-07,2026-07-25,施工管理技士,,,,,,,,,,,,,,,,,,
二級建築士製図・エスキス練習帳,LI ZEQI,Education,4,4,0.0,2025-07-16,2026-06-14,建築士,,,,,,,,,,,,,,,,,,
二級建築士試験対策,YUZUKI SUDA,Education,3.75,4,0.0,2021-04-12,2021-12-07,建築士,,,○,,,,,,,,,,,,,,,
令８年 二級建築士 全問解説 過去問－暗記プラス,yuki matsuda,Education,3.5,4,0.0,2026-01-21,2026-07-29,建築士,○,○,,○,○,○,,,,,,,,,,,,
コンクリート主任技士試験対策 (AI生成搭載),Hiroshige Ueyama,Education,3,4,0.0,2025-11-16,2026-05-18,建築士,○,○,○,,○,○,,,,○,,○,,,,,,
コンクリート診断士試験対策 (AI生成搭載),Hiroshige Ueyama,Education,2.5,4,0.0,2026-05-07,2026-07-25,建築士,○,○,,,○,○,,,,,,,,,,,,
儿童百科-十万个为什么儿童动画,洪霞 刘,Reference,4.5,4,0.0,2016-03-14,2017-05-08,消防設備士,,,,,,,,,,,,,,,,,,
合格の近道 | 情報処理安全確保支援士,Ryota Tatsumi,Education,5,4,0.0,2026-02-17,2026-07-21,ITパスポート/基本情報技術者,○,○,○,○,○,○,○,,○,,,,,,,,,
フォリオ,Folio Technologies Limited,Productivity,5,4,0.0,2017-08-13,2026-06-23,ITパスポート,,,,,,,○,,,,,,,,,,,
応用情報技術者試験 過去問集 ｜ 応用情報の過去問を学習,"KIIRONOKAMO, K.K.",Education,3.75,4,200.0,2023-06-19,2023-06-19,基本情報技術者/応用情報技術者,○,,,,,,,○,,,,,,○,,,,
CLF 模擬問題集 for AWS,"TOTAL CLOUD, K.K.",Education,3.5,4,0.0,2025-05-12,2025-09-25,AWS 認定,○,○,○,○,,,,,,,,,○,,,,,
世界遺産検定準1級 一問一答クイズ,Hajime App Lab,Education,5,4,0.0,2026-06-23,2026-07-28,QC検定,○,○,○,,○,○,○,,○,,,○,○,,,,,
ネイリスト検定3級 学科対策300問,RYOHEI HORIUCHI,Education,4,4,500.0,2026-02-18,2026-05-19,衛生管理者,○,○,,○,,,,,,○,,,,,,,,
運行管理者 貨物 問題集：一問一答,shinichi kinuwaki,Education,5,4,0.0,2026-02-27,2026-06-12,運行管理者,○,○,,○,,,,,,○,,○,,,,,,
通関士 試験対策 一問一答 問題集,cocoroom,Education,3,4,0.0,2026-05-06,2026-06-05,通関士,○,○,○,,○,,,,○,○,,,○,○,,,,
【みこ会メンバー専用】通関士試験対策,Izumi Higuchi,Education,5,4,0.0,2026-06-27,2026-07-25,通関士,○,,○,,,,,,,,,,○,,,,,
英検®準2級に出る単語・熟語を覚えられるアプリ,SHOJI DAICHI,Education,4.75,4,0.0,2026-04-08,2026-06-12,英検,○,○,○,○,,○,,,,,,,,,,,,
英単2000-シンプル英単語,Kim sungjun,Education,2.75,4,0.0,2009-09-16,2021-12-13,英検,,,,,,,,,,,,,,,,,,
スクたん TOEIC®英単語,Kentao Ito,Education,4.75,4,0.0,2026-05-28,2026-07-08,TOEIC,○,○,,,,,,,,,,,,,,,,
회독TOEIC,LEE YONGHEE,Education,5,4,1100.0,2019-10-29,2026-07-24,TOEIC,,,,,,,,,,,,,,,,,,
TOEFL Practice Test 2026 iBT,Dipen Patel,Education,4.75,4,0.0,2018-10-18,2026-07-13,TOEFL,,,,,,,,,,,,,,,,,,
単語帳 - 自分で作る単語帳＆英語学習,国良 陈,Education,4.5,4,0.0,2019-07-28,2026-07-21,TOEFL,○,,,,,○,○,,,,,,,,,,,○
マナビルド,TADAMUNE ITO,Productivity,4.75,4,0.0,2026-04-15,2026-04-25,TOEFL,○,,,,,○,○,,,,,○,,,,,,
AI単語帳｜赤シートに代わる次世代の暗記アプリ,Kouki Funaishi,Education,4.75,4,0.0,2025-05-19,2026-03-27,TOEFL,○,○,,○,,○,,,,,,○,,,,,,○
My教科書英単語,"NetForce Co., Ltd.",Education,5,4,0.0,2025-08-03,2026-04-17,英単語,,,,○,,○,,,,,,,,,,,,
サクッと暗記TOEIC頻出英単語1000 - 英語勉強,Junpei Shimotsu,Education,4,4,0.0,2019-07-12,2024-03-26,暗記/英単語,,,,,,,,,,,,,,,,,,
AI英会話 英作文 英単語 | SnapEnglish,SNAPTECHEDGE,Education,4.75,4,0.0,2026-05-10,2026-07-28,英単語,○,,,○,,○,,,○,,,,,,,,,
小学６年生の漢字練習帳-いつでも漢字練習しよう！手書きと読み方付きで覚える！-,Kiyoshi Koike,Education,1,4,0.0,2013-11-12,2017-08-07,漢字検定/漢検,,,,,,,,,,,,,,,,,,
漢字検定準2級 - 中学3年生 漢字ドリル,Junpei Shimotsu,Education,4,4,0.0,2019-05-14,2025-10-25,漢字検定,,,,,,,,,,,,,,,,,,
数学グラフ2,RYOUTA FUJII,Education,5,4,0.0,2016-06-24,2016-08-17,数検,,,,,,○,,,,,,,,,,,,
どこでもワーク　数学2年図形編,"BUNRI CO., LTD.",Education,5,4,0.0,2016-06-23,2021-04-08,数検,,,,,,○,,,,,,,,,,,,
日本語学習 ひらがなカタカナ,Space 64 LLC,Education,5,4,0.0,2024-10-30,2026-04-08,日本語能力試験,○,,,,,,○,○,○,,,,,○,,,,
JLPT刷题怪,修源 黄,Education,4.75,4,0.0,2025-12-02,2026-03-03,日本語能力試験,,,,,,,,,,,,,,,,,,
日本語単語,益 余,Education,5,4,0.0,2023-06-04,2026-03-28,日本語能力試験,,,,,,,,,,,,,,,,,,
キャリアコンサルタント 試験対策 一問一答,cocoroom,Education,4.75,4,0.0,2026-06-11,2026-07-02,メンタルヘルスマネジメント,,○,,,○,○,,,○,○,,,○,,,,,
令和8年度　測量士試験対策,Yasunori Mizuta,Education,1,4,1000.0,2025-07-04,2025-11-18,測量士補,,,,,,,,,,,,,,○,,,,
マンション管理士試験 過去問集,Kenta Momiyama,Education,2.5,4,0.0,2021-06-20,2024-05-04,マンション管理士,,○,,,,,,,,,,,,,,,,
令８年 管理業務主任者 全問解説 過去問－暗記プラス,yuki matsuda,Education,4,4,0.0,2025-10-29,2026-07-03,管理業務主任者,○,○,,,○,○,,,,,,,,,,,,
賃貸不動産経営管理士：一問一答,shinichi kinuwaki,Education,4.75,4,0.0,2026-03-09,2026-07-10,賃貸不動産経営管理士,○,○,,○,,,,,,○,,○,,,,,,
公務員試験 憲法・民法・行政法 一問一答,shinichi kinuwaki,Education,4,4,0.0,2026-05-04,2026-05-06,スキマ時間 学習/公務員試験,○,○,,○,○,○,,,,,,,,,,,,
公務員試験 国際関係アプリ,ayumu hieda,Education,5,4,0.0,2025-08-07,2025-12-17,公務員試験,○,,○,,,,,,,,,,,,,,,
教職教養学習,KARTIS WORKS,Education,2.75,4,600.0,2018-01-14,2025-12-31,教員採用試験,,○,○,,,,○,,,,,○,,,,,,
学習指導要領仕分けアプリ(小学校編),KARTIS WORKS,Education,2,4,1300.0,2017-11-21,2023-09-17,教員採用試験,,○,○,,,,○,,,,,○,,,,,,
シンプル暗記カード,kohei yamane,Education,5,4,0.0,2020-07-15,2020-07-22,暗記,,,,,,,,,,,,,,,,,,
ぜったい覚える！New Horizon 中３単語帳,Ben Walker,Education,4.5,4,0.0,2021-07-06,2026-07-05,単語帳,○,,,,,,,,,,,,,,,,,
Lingomori - 忘れない単語帳,Yung Chou Wu,Education,4.5,4,0.0,2024-07-14,2026-06-04,単語帳,○,,,,,,,,,,,○,○,,,,,○
AI単語帳（多言語対応版）,Kazuaki Takahashi,Education,4.25,4,0.0,2023-08-17,2026-06-14,単語帳,,,,,,,,,,,,,,,,,○,
Memly - AI単語帳＆暗記カード自動作成,Kazuki Masuda,Education,4.75,4,0.0,2026-03-26,2026-07-26,単語帳,○,,,,,,,,,,,,,,,,,
書いて覚える英単語 - カメラで自動単語帳,takashi ikebe,Education,3.75,4,0.0,2026-02-23,2026-04-21,単語帳,○,○,,○,○,,○,,,,,,,,,○,,○
速覚え英単語帳 - Leaplingo,free studio Inc.,Education,5,4,0.0,2024-09-19,2026-01-08,単語帳,,,,,○,,,○,,,,,,,,,,
TangoWrist 手ぶらで学ぶ単語帳,RUMAHSAKU CORP.,Education,5,4,800.0,2025-08-18,2026-07-17,スキマ時間 学習/単語帳,○,,,○,,○,,,○,,,○,,○,,,,
すわ単 – スワイプで覚えるカスタム単語帳,GENIT Inc.,Education,4,4,0.0,2025-07-14,2025-07-23,単語帳,○,,,,,○,,,○,,,○,,,,○,,
秒でできる英単語帳,"Appricot Co.,Ltd.",Education,4,4,0.0,2025-07-09,2025-07-17,単語帳,,,,○,,,,,,,,,,,,,,
ぜったい覚える！New Horizon 中１単語帳,Ben Walker,Education,3,4,0.0,2021-05-26,2026-07-04,単語帳,○,,,,,,,,,,,,,,,,,
高速読み上げフラッシュカードで語彙トレ・ゴイコイコイ,TELULU LLC,Education,4.5,4,0.0,2016-12-06,2025-12-09,フラッシュカード,,○,,,,○,,○,,,,,,,,,,
LingoCardsポーランド語学習で勉強しよう(基本編),LETS Limited,Education,4.75,4,0.0,2015-02-04,2017-05-27,フラッシュカード,,,,,,,,○,,,,,,,,,,
LingoCardsトルコ語学習で勉強しよう(基本編),LETS Limited,Education,4.75,4,0.0,2015-02-04,2017-05-26,フラッシュカード,,,,,,,,○,,,,,,,,,,
ABC Flashcards - First Words,Mobileroo Pty Ltd,Education,4.75,4,0.0,2013-11-28,2017-11-22,フラッシュカード,,,,,,,,,,,,,,,,,,
THE CURVE - 忘却曲線と単語帳,Yoshinori Tsuchiya,Education,3.75,4,0.0,2024-07-13,2024-07-29,フラッシュカード,○,○,,,,○,,,,,,,,,,,,
Feyn - Flashcards,Joaquin Alori,Education,5,4,0.0,2020-11-24,2025-11-19,フラッシュカード,,,,,,,,,,,,,,,,,,
マルチタイマー - タイマー ＆ ストップウォッチ,Cory Apps,Productivity,5,4,0.0,2023-01-09,2025-04-20,勉強タイマー,,,,,,,,,,,,,,,○,,,
Tiimer：集中・勉強タイマー＆ポモドーロ,LAMBDA TECH PTE. LTD.,Productivity,5,4,0.0,2026-01-08,2026-07-16,勉強タイマー,,,,,,○,,,,,,,,○,○,,,
Focus Cab: ポモドーロタイマー・時間管理・集中,Mert POLAT,Productivity,5,4,0.0,2025-12-30,2026-07-22,勉強タイマー,,○,,,,,○,○,○,,,,,,○,,,
ビジュアルタイマー、ピクセル砂時計,Oguz Kaytanci,Productivity,5,4,0.0,2023-08-13,2026-05-03,勉強タイマー,,,,,,,,○,,,,,,,○,,,
Life Timer - 作業が捗るWidget,"ViRD, Inc.",Productivity,4.5,4,0.0,2020-10-03,2020-10-04,勉強タイマー,,,,,,,,,,,,,,,○,,,
資格マスター（有償版）,kumiko harada,Productivity,4.33333,3,700.0,2024-10-01,2025-08-19,中小企業診断士/社会福祉士/資格/電気工事士,○,,○,○,○,,,,,,,,,,,,,
航空無線通信士 試験対策過去問集,Koki Yanagida,Education,5,3,0.0,2025-10-13,2026-07-12,資格 過去問,,,○,,,,,,,○,,,,,,,,
サクッと高度情報処理技術者試験 午前I過去問演習【サクトレ】,"DECRYPTION, CO., LTD.",Education,5,3,0.0,2025-01-17,2026-03-03,資格 過去問/過去問,○,○,○,○,,,,,,,,,,,,,,
宅建 過去問集 [過去11年分],Kenta Momiyama,Education,3.66667,3,0.0,2019-01-14,2024-05-22,宅建/宅建士/資格 過去問/過去問,,○,,,,,,,,,,,,,,,,
１級土木施工管理技士　過去問コンプリート　2026年版,"HORIUCHI INSATSUSHO, K.K.",Education,3.33333,3,0.0,2026-02-19,2026-02-20,施工管理技士/過去問,○,○,○,○,○,○,,,,,,,○,,,,,
【中央法規】介護福祉士合格アプリ2024過去+模擬+一問一答,"CHUOHOKI PUBLISHING CO.,LTD.",Education,5,3,0.0,2023-05-30,2023-06-09,介護福祉士/看護師 国家試験/社会福祉士/精神保健福祉士,,○,○,○,○,,,○,,,○,,,,,,,
看護師国家試験 2027過去問道場,CapCat LLC,Education,5,3,0.0,2026-05-12,2026-05-12,看護師 国家試験/過去問,,,,,,,,,,,,,,,,,,
圣才电子书,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,5,3,0.0,2014-07-13,2026-06-19,国家資格,,,,,,,,,,,,,,,,,,
ドローン二等 国家資格 学科試験対策,Takuro Fukuma,Education,3.66667,3,0.0,2026-05-18,2026-07-22,国家資格,○,○,○,○,○,○,,,○,○,,,,,○,,,
日本茶検定 2026年版 問題集 一問一答・模試,Signet LLC,Education,5,3,0.0,2026-06-23,2026-07-29,QC検定/検定/模試,○,○,○,○,○,,,,,○,,,○,,,,,
１級管工事施工管理技術検定「30日合格プログラム」,ReCorrect Inc.,Education,4.66667,3,1800.0,2024-07-31,2025-10-24,施工管理技士/検定,,○,,,,,,,,○,,,,,,,,
レストランサービス技能検定2級　学科試験対策,RUMAHSAKU CORP.,Education,4.33333,3,800.0,2026-02-01,2026-02-01,検定,○,○,○,○,○,○,,,○,○,,○,○,○,,,,
歴史能力検定 3級 2026年版 問題集,Signet LLC,Education,4.33333,3,0.0,2026-06-22,2026-07-29,日本語能力試験/検定,○,○,○,○,○,,,,,○,,,○,,,,,
薬剤師国家試験対策問題集－物理・化学－,"BLOOM CO., LTD",Education,4.33333,3,0.0,2015-10-31,2019-03-12,薬剤師 国家試験/試験対策,,○,,○,,○,,,,,,,,,,,,
運行管理者 貨物 試験対策 一問一答,cocoroom,Education,5,3,0.0,2026-06-08,2026-06-08,試験対策/運行管理者,,,○,○,○,,,,,○,,,,,,,,
薬剤師国家試験対策問題集－法規－,"BLOOM CO., LTD",Education,4.66667,3,0.0,2017-12-05,2019-03-13,薬剤師 国家試験/試験対策,,○,,○,,,,,,,,,,,,,,
小学校教員試験対策,KARTIS WORKS,Education,3,3,800.0,2020-03-03,2020-08-14,教員採用試験/試験対策,,,,,,,○,,,,,○,,,,,,
管理業務主任者 試験対策,"MANPYOU CO.,LTD.",Education,4,3,0.0,2026-03-26,2026-07-27,管理業務主任者/試験対策,○,○,○,○,○,○,,,,,,,○,,,,,
色彩検定3級　試験対策,RUMAHSAKU CORP.,Education,4.66667,3,0.0,2026-06-08,2026-06-29,試験対策,○,○,○,○,○,○,○,,○,○,,○,○,,,,,
FP3級学科解説付き問題集,"Qingdao Tomato Creative Technology Service Co., Ltd",Education,5,3,0.0,2025-03-24,2026-04-10,ファイナンシャルプランナー/一問一答,○,○,,,○,,,,,,,,○,,,,,
サクッと化学(共通テスト対策)1問1答【サクトレ】,"DECRYPTION, CO., LTD.",Education,5,3,0.0,2025-04-23,2025-10-21,一問一答,○,○,○,○,,,,,,,,,,,,,,
暗記学園｜中学社会の一問一答,KNOWLEDGE UP LLC,Education,5,3,0.0,2026-04-06,2026-06-25,一問一答,○,○,,○,,,,,,,,,,,,,,
登録販売者 過去問｜試験対策・一問一答・模試,Hirotaka Kouso,Education,5,3,0.0,2026-07-02,2026-07-26,模試/登録販売者/薬剤師 国家試験,○,○,○,○,○,○,,,,○,,,○,,,,,
IELTS アイエルツ対策・英会話 - TalkFace,"Gravity Technology Beijing Co., Ltd",Education,5,3,0.0,2023-03-15,2026-07-24,模試,,○,,,,,,,,○,,○,,,,,,
TOEIC Test Part2 リスニング 模試３００問,Microstone Inc.,Education,2.66667,3,300.0,2014-08-30,2023-11-19,模試,,,,,,,,,,,,,,,,,,
民法｜司法試験・司法書士・行政書士・宅建士・公務員試験に,MEGMINX Corporation,Reference,5,3,0.0,2026-06-09,2026-07-15,ビジネス実務法務/公務員試験/司法書士/宅建,,,,,,,,,,,,,○,,,,,
一級建築士2023年対策アプリ,YUZUKI SUDA,Education,1.66667,3,0.0,2021-03-31,2023-02-08,宅建士/建築士/施工管理技士,,,○,,○,,,,,,,,,,,,,
マンション管理士 試験対策ドリル｜管業・予想問題,Shunya Iwasaki,Education,2.33333,3,0.0,2026-06-10,2026-07-28,マンション管理士/宅建士/管理業務主任者,○,○,○,○,○,○,,,,○,,,○,○,,,,
資格の大原 社労士トレ問2026,"OHARA PUBLISHING CO., LTD.",Education,4.66667,3,0.0,2025-09-10,2026-05-14,社労士,,○,,,○,○,○,,,,,,○,○,○,,,
社労士 合格伴走 出典つき問題集・判例,Tetsuhiro Nomura,Education,5,3,0.0,2026-06-25,2026-07-24,社労士,○,○,○,,,○,,,,○,,,,,,,,
社労士 過去問 試験対策,AI Labs E73 Inc.,Education,4,3,0.0,2024-11-24,2026-07-14,社労士,○,,○,○,,,○,,,,,,,,,,,
Sharopa,Ryusuke Iimura,Education,4,3,0.0,2026-05-27,2026-06-13,社労士,○,○,○,○,,,,,,,,,,,,,,
簿記２級 速仕訳トレーニング,shoma ono,Education,5,3,660.0,2025-01-02,2025-10-30,日商簿記/簿記,○,,○,,,○,,,○,,,,○,,,,,○
暗記カード スピークデッキ｜英語・漢字・韓国語の単語帳,TETSUYA SAKAI,Education,5,3,0.0,2026-01-26,2026-07-16,フラッシュカード/簿記,○,,,○,,,,,,,,,,,,,,○
金融クイズ お金の勉強 kinben,"BYNET CO., LTD.",Education,4,3,0.0,2026-01-20,2026-07-07,簿記,○,○,,○,,○,,○,,,,,○,,,,,
税理士簿記論合格ドリル,Tsuyoshi Sezaki,Education,2.66667,3,0.0,2026-04-07,2026-06-19,簿記,○,○,○,,○,,,,,○,,,,,,,,
消費税法 プラスの一問一答,Yuki Kawakami,Productivity,4.66667,3,0.0,2021-05-08,2026-05-09,簿記,,○,○,○,,○,,,,,,,,,,,,
勘定科目　分ければ分かる,Netschool co.ltd,Education,3.33333,3,0.0,2025-12-24,2026-04-07,日商簿記,○,○,,○,,○,○,○,,,,,,,,,,
FP過去問 3級2級｜一問一答・模試,Hirotaka Kouso,Education,5,3,0.0,2026-06-29,2026-07-19,FP技能士/ファイナンシャルプランナー,○,○,○,○,○,○,,,,○,,,○,,,,,
FP3級 最短合格,"LIBERE CO., LTD.",Education,4.66667,3,0.0,2026-04-02,2026-04-28,ファイナンシャルプランナー,○,○,,○,○,,,○,,○,,,,,,,,
コツコツ-FP3級 効率勉強アプリ,TARO KATSUKI,Education,5,3,0.0,2026-06-15,2026-07-19,ファイナンシャルプランナー,○,○,○,○,○,○,○,○,○,,,○,,,,,,
FP2級 実技対策,RUMAHSAKU CORP.,Education,4.33333,3,0.0,2026-05-11,2026-07-06,ファイナンシャルプランナー,○,○,○,○,○,○,,,,○,,,○,○,,,,
証券外務員1種 試験対策　,ARKTECH LLC (Japan),Education,4.33333,3,0.0,2025-12-07,2025-12-08,証券外務員,○,○,○,○,,○,,,,○,,,,○,,,,
法務3級 銀行業務検定 試験対策,ARKTECH LLC (Japan),Education,1.66667,3,0.0,2025-12-16,2025-12-16,銀行業務検定,○,○,○,○,,○,,,,○,,,,○,,,,
社会人ホスピタリティ（実践） 銀行業務検定 試験対策,ARKTECH LLC (Japan),Education,1.33333,3,0.0,2025-12-15,2025-12-16,銀行業務検定,○,○,○,○,,○,,,,○,,,,○,,,,
登販 - 登録販売者 2026 過去問道場,CapCat LLC,Education,3.66667,3,0.0,2026-04-30,2026-04-30,登録販売者,,,,,,,,,,,,,,,,,,
登録販売者2023年対策アプリ,YUZUKI SUDA,Education,2,3,0.0,2021-03-05,2022-12-28,登録販売者,,○,○,,,,,,,,,,,,,,,
nurse+,ishizawa fumihiro,Education,5,3,0.0,2026-06-23,2026-07-25,看護師 国家試験/薬剤師 国家試験,○,○,○,○,,,,○,,,,,○,○,,,,
スマ看,RE:DO (Japan),Education,4.33333,3,0.0,2026-02-26,2026-03-26,看護師 国家試験,○,○,,○,,○,○,,○,○,,,,,,,,
NurseAI:看護師と看護のためのAIアシスタント,SAFE AI NETWORK PTE. LTD.,Education,4.33333,3,0.0,2026-05-16,2026-05-16,看護師 国家試験/薬剤師 国家試験,,,,,,,,,,,,,,,,,,
介護福祉検定 過去問アプリ 〜介護福祉士の勉強サポート〜,"KIIRONOKAMO, K.K.",Education,5,3,160.0,2022-12-24,2026-02-13,介護福祉士/看護師 国家試験/社会福祉士,○,○,,,,,,,,,,,,,,,,
StudyTrail-AI単語帳・暗記カード,itokazu yuu,Education,5,3,0.0,2026-05-15,2026-07-19,看護師 国家試験/薬剤師 国家試験,○,,,,,○,○,,,,,,,○,,,,
薬剤師国家試験 | 音勉,CAREP TECHNOLOGIES K.K.,Education,2.66667,3,0.0,2025-05-14,2026-05-18,薬剤師 国家試験,○,,,○,,,,,,,,,,,,,,
